accX accY accZ gyroX gyroY gyroZ timestamp Activity
-0.6105401 4.4054656 8.212362 0.0 0.0 0.0 15:30:02.474 LS
-0.6105401 4.4054656 8.212362 0.0 0.0 0.0 15:30:02.476 LS
-0.6105401 4.4054656 8.212362 0.0 0.0 0.0 15:30:02.477 LS
-0.11013664 4.8579836 7.982512 0.0 0.0 0.0 15:30:02.477 LS
0.0071828244 5.0495257 7.678439 0.0 0.0 0.0 15:30:02.477 LS
0.0670397 5.130931 7.922655 0.0 0.0 0.0 15:30:02.478 LS
-0.021548472 5.0064287 8.46855 0.0 0.0 0.0 15:30:02.478 LS
0.083799616 4.965726 8.973742 0.0 0.0 0.0 15:30:02.479 LS
0.23463893 5.1093826 8.92825 0.0 0.0 0.0 15:30:02.479 LS
0.23463893 5.1093826 8.92825 -0.11670703 -0.20890002 0.17382231 15:30:02.565 LS
0.23463893 5.1093826 8.92825 -0.10998751 -0.25960183 0.15244204 15:30:02.585 LS
0.23463893 5.1093826 8.92825 -0.16313279 -0.32191008 0.13106175 15:30:02.608 LS
0.23463893 5.1093826 8.92825 -0.12403741 -0.345123 0.101129346 15:30:02.626 LS
0.05506832 5.00164 8.667274 -0.12403741 -0.345123 0.101129346 15:30:02.647 LS
0.05506832 5.00164 8.667274 -0.10021367 -0.17652418 0.1811527 15:30:02.647 LS
0.17478207 4.8364353 9.000079 -0.10021367 -0.17652418 0.1811527 15:30:02.648 LS
0.28731298 4.7334814 9.335278 -0.10021367 -0.17652418 0.1811527 15:30:02.648 LS
0.42618093 4.786155 9.091062 -0.10021367 -0.17652418 0.1811527 15:30:02.649 LS
0.50040346 4.7262983 8.786988 -0.10021367 -0.17652418 0.1811527 15:30:02.649 LS
0.87151605 4.522785 9.411894 -0.10021367 -0.17652418 0.1811527 15:30:02.650 LS
0.6943397 3.8930907 9.96976 -0.10021367 -0.17652418 0.1811527 15:30:02.650 LS
0.014365649 3.7111259 9.311335 -0.10021367 -0.17652418 0.1811527 15:30:02.651 LS
0.24421602 4.106181 8.959376 -0.10021367 -0.17652418 0.1811527 15:30:02.651 LS
0.24421602 4.106181 8.959376 -0.30974045 0.11424768 0.42672053 15:30:02.667 LS
0.24421602 4.106181 8.959376 -0.60234493 0.13746056 0.4988026 15:30:02.685 LS
0.24421602 4.106181 8.959376 -0.6982507 -0.0934465 0.24651527 15:30:02.706 LS
0.24421602 4.106181 8.959376 -0.5192672 -0.1936284 0.014997353 15:30:02.726 LS
0.24421602 4.106181 8.959376 -0.13197865 -0.16675034 0.021106005 15:30:02.747 LS
0.24421602 4.106181 8.959376 0.46056065 -0.16980466 0.20375471 15:30:02.766 LS
0.24421602 4.106181 8.959376 0.96880054 -0.012812288 0.49330485 15:30:02.787 LS
0.24421602 4.106181 8.959376 1.1147974 -0.11238332 0.6924469 15:30:02.807 LS
1.2905141 4.515602 9.727939 1.1147974 -0.11238332 0.6924469 15:30:02.827 LS
1.2905141 4.515602 9.727939 1.0017872 -0.3206884 0.47925493 15:30:02.828 LS
1.2785428 3.955342 11.221966 1.0017872 -0.3206884 0.47925493 15:30:02.828 LS
0.9696813 2.760599 12.179676 1.0017872 -0.3206884 0.47925493 15:30:02.829 LS
0.6392714 2.0327394 12.464595 1.0017872 -0.3206884 0.47925493 15:30:02.829 LS
0.30167863 0.9960183 12.632194 1.0017872 -0.3206884 0.47925493 15:30:02.830 LS
0.90024734 1.0247496 9.692024 1.0017872 -0.3206884 0.47925493 15:30:02.830 LS
2.4277947 1.8052832 8.226728 1.0017872 -0.3206884 0.47925493 15:30:02.831 LS
3.241848 2.3152637 7.6975937 1.0017872 -0.3206884 0.47925493 15:30:02.831 LS
2.5714512 1.2067145 7.1780357 1.0017872 -0.3206884 0.47925493 15:30:02.833 LS
2.5714512 1.2067145 7.1780357 0.8283015 -0.25104973 0.17198971 15:30:02.847 LS
2.5714512 1.2067145 7.1780357 0.6242725 -0.30724934 0.037599366 15:30:02.867 LS
2.5714512 1.2067145 7.1780357 0.48010832 -1.0103552 -0.18842077 15:30:02.886 LS
2.5714512 1.2067145 7.1780357 0.3188399 -1.8557928 -0.43704295 15:30:02.907 LS
2.5714512 1.2067145 7.1780357 0.008520349 -2.036609 -0.59586793 15:30:02.927 LS
2.5714512 1.2067145 7.1780357 -0.38487685 -1.6896373 -0.50179464 15:30:02.946 LS
2.5714512 1.2067145 7.1780357 -0.9676423 -1.0048574 -0.4779709 15:30:02.967 LS
2.5714512 1.2067145 7.1780357 -1.3805871 -0.3115254 -0.55555075 15:30:02.987 LS
2.2601955 1.5467016 6.1125836 -1.3805871 -0.3115254 -0.55555075 15:30:03.007 LS
2.2601955 1.5467016 6.1125836 -1.340881 -0.24738453 -0.6954389 15:30:03.008 LS
2.2985039 1.9154198 4.7191157 -1.340881 -0.24738453 -0.6954389 15:30:03.009 LS
3.1221344 1.3719195 4.278569 -1.340881 -0.24738453 -0.6954389 15:30:03.009 LS
1.6328955 2.063865 4.7167215 -1.340881 -0.24738453 -0.6954389 15:30:03.010 LS
2.351178 1.934574 4.314483 -1.340881 -0.24738453 -0.6954389 15:30:03.010 LS
3.0766432 2.4996228 4.640105 -1.340881 -0.24738453 -0.6954389 15:30:03.011 LS
3.2633965 3.162837 6.4621477 -1.340881 -0.24738453 -0.6954389 15:30:03.011 LS
3.0167863 3.318465 7.2714124 -1.340881 -0.24738453 -0.6954389 15:30:03.012 LS
2.4373717 3.1317115 7.5659084 -1.340881 -0.24738453 -0.6954389 15:30:03.012 LS
2.4373717 3.1317115 7.5659084 -1.1673952 -0.42758977 -0.7308691 15:30:03.030 LS
2.4373717 3.1317115 7.5659084 -1.0696568 -0.5992429 -0.69849324 15:30:03.046 LS
2.4373717 3.1317115 7.5659084 -1.0928696 -0.62062323 -0.71804094 15:30:03.066 LS
2.4373717 3.1317115 7.5659084 -1.1625082 -0.45874393 -0.89335924 15:30:03.087 LS
2.4373717 3.1317115 7.5659084 -1.1008109 -0.51433265 -1.2476611 15:30:03.106 LS
2.4373717 3.1317115 7.5659084 -0.96214455 -0.5473194 -1.4431379 15:30:03.126 LS
2.4373717 3.1317115 7.5659084 -0.92304915 -0.32924047 -1.2769827 15:30:03.148 LS
2.4373717 3.1317115 7.5659084 -1.0623264 -0.105663806 -0.98926514 15:30:03.168 LS
2.1572416 3.8021083 8.035186 -1.0623264 -0.105663806 -0.98926514 15:30:03.187 LS
2.1572416 3.8021083 8.035186 -1.2333686 0.035446066 -0.84143573 15:30:03.187 LS
3.0191805 4.000833 8.631361 -1.2333686 0.035446066 -0.84143573 15:30:03.188 LS
3.8356283 4.9154463 9.478934 -1.2333686 0.035446066 -0.84143573 15:30:03.188 LS
3.703943 5.195576 9.981731 -1.2333686 0.035446066 -0.84143573 15:30:03.189 LS
2.657645 4.6113734 10.532414 -1.2333686 0.035446066 -0.84143573 15:30:03.189 LS
1.9106313 4.2665977 9.943423 -1.2333686 0.035446066 -0.84143573 15:30:03.190 LS
1.525153 4.644893 9.126976 -1.2333686 0.035446066 -0.84143573 15:30:03.190 LS
1.3862851 5.111777 9.306546 -1.2333686 0.035446066 -0.84143573 15:30:03.191 LS
1.6233183 5.0614967 10.3743925 -1.2333686 0.035446066 -0.84143573 15:30:03.191 LS
1.6233183 5.0614967 10.3743925 -1.2333686 0.035446066 -0.84143573 15:30:03.208 LS
1.6233183 5.0614967 10.3743925 -1.2468077 0.10813903 -0.7479733 15:30:03.228 LS
1.6233183 5.0614967 10.3743925 -1.1576215 0.13562796 -0.38573027 15:30:03.246 LS
1.6233183 5.0614967 10.3743925 -0.9487055 0.20037968 0.20864163 15:30:03.268 LS
