accX accY accZ gyroX gyroY gyroZ timestamp Activity
0.0 0.0 0.0 0.5228689 -0.32435358 0.22391327 14:47:43.739 NS
0.0 0.0 0.0 0.5992271 -0.2730409 0.16588107 14:47:43.754 NS
0.0 0.0 0.0 0.55952084 -0.15697649 0.08707945 14:47:43.774 NS
0.0 0.0 0.0 0.2308753 -0.28709078 -0.15971011 14:47:43.793 NS
0.0 0.0 0.0 -0.14114164 -0.51677614 -0.4779709 14:47:43.814 NS
0.0 0.0 0.0 -0.14114164 -0.51677614 -0.4779709 14:47:43.834 NS
0.0 0.0 0.0 -0.13747644 -0.4605765 -0.6203025 14:47:43.854 NS
0.0 0.0 0.0 0.32311594 -0.15453301 -0.4565906 14:47:43.875 NS
0.0 0.0 0.0 0.7604955 0.14112575 -0.20369239 14:47:43.894 NS
0.0 0.0 0.0 0.7947039 0.16983643 -0.046089172 14:47:43.914 NS
0.0 0.0 0.0 0.594951 0.07209799 -0.025319753 14:47:43.936 NS
0.0 0.0 0.0 0.39703065 -0.07878573 -0.0094372565 14:47:43.954 NS
0.0 0.0 0.0 0.32861373 -0.21439782 0.069364354 14:47:43.975 NS
-2.176396 2.7725701 9.301758 0.32861373 -0.21439782 0.069364354 14:47:43.995 NS
-2.176396 2.7725701 9.301758 0.33960932 -0.23150204 0.14755511 14:47:43.996 NS
-2.176396 2.7725701 9.301758 0.33960932 -0.23150204 0.14755511 14:47:43.997 NS
-2.176396 2.7725701 9.301758 0.33960932 -0.23150204 0.14755511 14:47:43.997 NS
-1.3958622 2.5139885 7.2762012 0.33960932 -0.23150204 0.14755511 14:47:43.998 NS
-1.3144568 2.4206119 8.123775 0.33960932 -0.23150204 0.14755511 14:47:43.998 NS
-0.90503585 2.4445546 8.686429 0.33960932 -0.23150204 0.14755511 14:47:43.999 NS
-0.3328042 2.6887705 8.779806 0.33960932 -0.23150204 0.14755511 14:47:43.999 NS
-0.098165266 3.0287576 8.61939 0.33960932 -0.23150204 0.14755511 14:47:44 NS
-0.098165266 3.0287576 8.61939 0.3243377 -0.19240668 0.15549636 14:47:44.015 NS
-0.098165266 3.0287576 8.61939 0.23454048 -0.17224813 0.07791647 14:47:44.036 NS
-0.098165266 3.0287576 8.61939 0.115421765 -0.15208957 0.003390913 14:47:44.056 NS
-0.098165266 3.0287576 8.61939 0.015850732 -0.17163725 -0.0094372565 14:47:44.075 NS
-0.098165266 3.0287576 8.61939 -0.03424022 -0.19423927 0.055314455 14:47:44.096 NS
-0.098165266 3.0287576 8.61939 -0.053787906 -0.19851533 0.14022473 14:47:44.115 NS
