accX accY accZ gyroX gyroY gyroZ timestamp Activity
0.0 0.0 0.0 -0.11731789 -0.14353745 0.02171687 15:48:16.813 SS
0.0 0.0 0.0 -0.11731789 -0.10383121 -8.8514376E-4 15:48:16.824 SS
0.0 0.0 0.0 -0.106933184 -0.072677076 0.011943026 15:48:16.845 SS
0.0 0.0 0.0 -0.12281568 -0.12765495 0.04492975 15:48:16.864 SS
0.0 0.0 0.0 -0.14602856 -0.19301753 0.05653619 15:48:16.885 SS
0.0 0.0 0.0 -0.16130018 -0.26632136 0.051038403 15:48:16.905 SS
0.0 0.0 0.0 -0.18145874 -0.3500099 0.07974907 15:48:16.925 SS
0.0 0.0 0.0 -0.1753501 -0.4306441 0.11151406 15:48:16.945 SS
0.0 0.0 0.0 -0.14236337 -0.5424324 0.139003 15:48:16.965 SS
0.0 0.0 0.0 -0.10326799 -0.64261436 0.17504404 15:48:16.985 SS
0.0 0.0 0.0 -0.036072817 -0.7702852 0.20680903 15:48:17.005 SS
0.0 0.0 0.0 -0.034851085 -0.83442605 0.31248873 15:48:17.026 SS
0.0 0.0 0.0 -0.10754404 -0.79655236 0.50857645 15:48:17.045 SS
-1.9034485 5.044737 8.051947 -0.10754404 -0.79655236 0.50857645 15:48:17.066 SS
-1.9034485 5.044737 8.051947 -0.2712559 -0.75257015 0.72665536 15:48:17.067 SS
-1.9034485 5.044737 8.051947 -0.2712559 -0.75257015 0.72665536 15:48:17.067 SS
-1.9034485 5.044737 8.051947 -0.2712559 -0.75257015 0.72665536 15:48:17.068 SS
-0.62251145 4.5443335 8.851634 -0.2712559 -0.75257015 0.72665536 15:48:17.069 SS
-0.72785956 4.400677 8.523619 -0.2712559 -0.75257015 0.72665536 15:48:17.069 SS
-0.4166038 4.1349125 8.066312 -0.2712559 -0.75257015 0.72665536 15:48:17.070 SS
-0.55786604 3.981679 7.1133904 -0.2712559 -0.75257015 0.72665536 15:48:17.071 SS
-0.0670397 4.4318027 7.125362 -0.2712559 -0.75257015 0.72665536 15:48:17.071 SS
-0.0670397 4.4318027 7.125362 -0.6267795 -0.67743367 0.9612276 15:48:17.086 SS
-0.0670397 4.4318027 7.125362 -0.9083884 -0.5729757 1.1011157 15:48:17.105 SS
-0.0670397 4.4318027 7.125362 -0.8527996 -0.65483165 1.0253685 15:48:17.126 SS
-0.0670397 4.4318027 7.125362 -0.61883825 -0.95354474 0.6405234 15:48:17.146 SS
-0.0670397 4.4318027 7.125362 -0.52781934 -1.1875061 0.3393668 15:48:17.165 SS
-0.0670397 4.4318027 7.125362 -0.7892696 -1.3359464 0.34669718 15:48:17.186 SS
-0.0670397 4.4318027 7.125362 -0.94137514 -1.1288631 0.24712615 15:48:17.207 SS
-0.0670397 4.4318027 7.125362 -0.7794958 -0.7702852 -0.13466462 15:48:17.225 SS
1.1253091 4.314483 8.394327 -0.7794958 -0.7702852 -0.13466462 15:48:17.246 SS
1.1253091 4.314483 8.394327 -0.54981047 -0.571754 -0.4162735 15:48:17.247 SS
