accX accY accZ gyroX gyroY gyroZ timestamp Activity
-1.9393626 3.110163 8.9186735 0.0 0.0 0.0 17:35:12.479 LS
-1.9393626 3.110163 8.9186735 0.0 0.0 0.0 17:35:12.482 LS
-1.9393626 3.110163 8.9186735 0.0 0.0 0.0 17:35:12.482 LS
-1.0295382 3.469304 9.198804 0.0 0.0 0.0 17:35:12.483 LS
-1.0151725 3.5507095 8.837268 0.0 0.0 0.0 17:35:12.484 LS
-1.0415095 3.4860642 8.672064 0.0 0.0 0.0 17:35:12.484 LS
-1.1803775 3.4238129 8.710372 0.0 0.0 0.0 17:35:12.485 LS
-1.0343267 3.5938065 8.56911 0.0 0.0 0.0 17:35:12.486 LS
-1.0199611 3.684789 8.3679905 0.0 0.0 0.0 17:35:12.487 LS
-1.0199611 3.684789 8.3679905 -0.2070821 -0.044195488 0.12468248 17:35:12.573 LS
-1.0199611 3.684789 8.3679905 -0.10262414 -0.08756693 0.14972796 17:35:12.592 LS
-1.0199611 3.684789 8.3679905 0.06597467 -0.09734077 0.23158391 17:35:12.612 LS
-1.0199611 3.684789 8.3679905 0.08918755 -0.044195488 0.3232137 17:35:12.632 LS
-1.1731946 3.5698638 8.490098 0.08918755 -0.044195488 0.3232137 17:35:12.654 LS
-1.1731946 3.5698638 8.490098 -0.03603983 -0.03136732 0.3226028 17:35:12.655 LS
-1.1420691 3.7063375 8.310528 -0.03603983 -0.03136732 0.3226028 17:35:12.656 LS
-1.0486923 3.7159145 8.581081 -0.03603983 -0.03136732 0.3226028 17:35:12.656 LS
-1.1253091 3.4956412 9.081485 -0.03603983 -0.03136732 0.3226028 17:35:12.657 LS
-1.2210802 3.2490308 9.040782 -0.03603983 -0.03136732 0.3226028 17:35:12.657 LS
-1.3024855 3.684789 7.970541 -0.03603983 -0.03136732 0.3226028 17:35:12.658 LS
-1.036721 4.3767343 7.1995845 -0.03603983 -0.03136732 0.3226028 17:35:12.658 LS
-0.99362403 4.946572 7.125362 -0.03603983 -0.03136732 0.3226028 17:35:12.660 LS
