accX accY accZ gyroX gyroY gyroZ timestamp Activity
-1.5754328 2.3463893 9.064724 0.0 0.0 0.0 17:20:00.934 NS
-1.5754328 2.3463893 9.064724 0.0 0.0 0.0 17:20:00.937 NS
-1.5754328 2.3463893 9.064724 0.0 0.0 0.0 17:20:00.938 NS
-0.9194015 2.6815877 9.562734 0.0 0.0 0.0 17:20:00.938 NS
-0.9601042 2.5331428 9.835681 0.0 0.0 0.0 17:20:00.938 NS
-1.0798179 2.516383 9.730332 0.0 0.0 0.0 17:20:00.939 NS
-1.0295382 2.5834224 9.3831625 0.0 0.0 0.0 17:20:00.939 NS
-0.9768641 2.6552508 9.25866 0.0 0.0 0.0 17:20:00.939 NS
-0.7996878 2.667222 9.500483 0.0 0.0 0.0 17:20:00.940 NS
-0.7996878 2.667222 9.500483 0.026268426 -0.16636854 0.006174626 17:20:01.022 NS
-0.7996878 2.667222 9.500483 0.0671964 -0.12971663 -0.023146905 17:20:01.043 NS
-0.7996878 2.667222 9.500483 0.0671964 -0.12055364 -0.02131431 17:20:01.061 NS
-0.7996878 2.667222 9.500483 0.07269418 -0.12055364 -0.0084861405 17:20:01.081 NS
-0.81165916 2.5475085 9.337671 0.07269418 -0.12055364 -0.0084861405 17:20:01.103 NS
-0.81165916 2.5475085 9.337671 0.10507005 -0.10406028 -0.016427387 17:20:01.104 NS
-0.8643332 2.456526 9.261055 0.10507005 -0.10406028 -0.016427387 17:20:01.104 NS
-0.6751855 2.5499027 9.464568 0.10507005 -0.10406028 -0.016427387 17:20:01.105 NS
-0.5602603 2.5906053 9.577099 0.10507005 -0.10406028 -0.016427387 17:20:01.105 NS
-0.6608198 2.5642684 9.368797 0.10507005 -0.10406028 -0.016427387 17:20:01.106 NS
-0.6488485 2.49244 9.301758 0.10507005 -0.10406028 -0.016427387 17:20:01.106 NS
-0.43336374 2.4804688 9.498088 0.10507005 -0.10406028 -0.016427387 17:20:01.107 NS
-0.2083019 2.5331428 9.222747 0.10507005 -0.10406028 -0.016427387 17:20:01.107 NS
-0.014365649 2.6600394 9.143736 0.10507005 -0.10406028 -0.016427387 17:20:01.108 NS
-0.014365649 2.6600394 9.143736 0.06841813 -0.10406028 -0.064074874 17:20:01.122 NS
-0.014365649 2.6600394 9.143736 -0.010994352 -0.07046269 -0.13737871 17:20:01.142 NS
-0.014365649 2.6600394 9.143736 -0.13255653 -0.033199918 -0.23267369 17:20:01.164 NS
-0.014365649 2.6600394 9.143736 -0.14599557 0.024832282 -0.35606846 17:20:01.182 NS
-0.014365649 2.6600394 9.143736 -0.012826948 0.059651602 -0.40738115 17:20:01.202 NS
-0.014365649 2.6600394 9.143736 0.06841813 -0.17614238 -0.29131675 17:20:01.224 NS
-0.014365649 2.6600394 9.143736 0.08185716 -0.36001283 -0.17769581 17:20:01.242 NS
-0.014365649 2.6600394 9.143736 0.06963986 -0.27693516 -0.19785437 17:20:01.263 NS
0.11971374 2.6193366 9.007262 0.06963986 -0.27693516 -0.19785437 17:20:01.285 NS
0.11971374 2.6193366 9.007262 -0.053144053 -0.19752266 -0.27054733 17:20:01.286 NS
0.35674694 2.6169424 9.138947 -0.053144053 -0.19752266 -0.27054733 17:20:01.287 NS
0.5818088 2.5738454 10.07032 -0.053144053 -0.19752266 -0.27054733 17:20:01.288 NS
-0.04070267 1.9920366 9.481328 -0.053144053 -0.19752266 -0.27054733 17:20:01.290 NS
-0.5027977 1.908237 8.530801 -0.053144053 -0.19752266 -0.27054733 17:20:01.290 NS
0.2681588 2.4206119 8.810931 -0.053144053 -0.19752266 -0.27054733 17:20:01.291 NS
0.6249057 2.578634 8.45179 -0.053144053 -0.19752266 -0.27054733 17:20:01.291 NS
0.8739103 2.9138324 8.28898 -0.053144053 -0.19752266 -0.27054733 17:20:01.292 NS
1.3623424 2.9497466 8.2027855 -0.053144053 -0.19752266 -0.27054733 17:20:01.292 NS
1.3623424 2.9497466 8.2027855 -0.2950467 -0.08023654 -0.40371594 17:20:01.303 NS
1.3623424 2.9497466 8.2027855 -0.6914982 -0.121164516 -0.58331037 17:20:01.323 NS
1.3623424 2.9497466 8.2027855 -0.6914982 -0.121164516 -0.58331037 17:20:01.345 NS
1.3623424 2.9497466 8.2027855 -0.8167256 -0.4308732 -0.73969185 17:20:01.363 NS
1.3623424 2.9497466 8.2027855 -0.529619 -0.78761846 -0.7873393 17:20:01.384 NS
1.3623424 2.9497466 8.2027855 -0.32009217 -0.78456414 -0.68104875 17:20:01.405 NS
1.3623424 2.9497466 8.2027855 -0.40255895 -0.36306715 -0.48435014 17:20:01.422 NS
1.3623424 2.9497466 8.2027855 -0.5283972 0.1543357 -0.3273578 17:20:01.444 NS
1.4317763 2.7773588 7.8316727 -0.5283972 0.1543357 -0.3273578 17:20:01.464 NS
1.4317763 2.7773588 7.8316727 -0.60658795 0.39501664 -0.3658423 17:20:01.465 NS
1.3383996 2.4469488 9.620196 -0.60658795 0.39501664 -0.3658423 17:20:01.466 NS
0.7398309 1.8914771 10.635368 -0.60658795 0.39501664 -0.3658423 17:20:01.467 NS
0.31843856 1.8842943 10.008069 -0.60658795 0.39501664 -0.3658423 17:20:01.468 NS
0.2777359 2.0064023 9.514848 -0.60658795 0.39501664 -0.3658423 17:20:01.469 NS
0.42378664 2.466103 9.395134 -0.60658795 0.39501664 -0.3658423 17:20:01.470 NS
0.5698374 3.3519847 8.5882635 -0.60658795 0.39501664 -0.3658423 17:20:01.471 NS
0.22506183 3.1580484 8.085466 -0.60658795 0.39501664 -0.3658423 17:20:01.471 NS
-0.11971374 3.4333901 9.110215 -0.60658795 0.39501664 -0.3658423 17:20:01.472 NS
-0.11971374 3.4333901 9.110215 -0.6682853 0.11462947 -0.49840006 17:20:01.483 NS
-0.11971374 3.4333901 9.110215 -0.6218596 -0.2744917 -0.5857538 17:20:01.504 NS
-0.11971374 3.4333901 9.110215 -0.51984507 -0.43698186 -0.63645566 17:20:01.524 NS
-0.11971374 3.4333901 9.110215 -0.49846482 -0.39361042 -0.58208865 17:20:01.543 NS
-0.11971374 3.4333901 9.110215 -0.3182596 -0.1669794 -0.38783348 17:20:01.563 NS
-0.11971374 3.4333901 9.110215 -0.10323501 -0.014873957 -0.27665597 17:20:01.583 NS
-0.11971374 3.4333901 9.110215 0.035431404 -0.108336344 -0.24916705 17:20:01.604 NS
-0.11971374 3.4333901 9.110215 0.1655457 -0.093675576 -0.16242418 17:20:01.623 NS
0.11971374 2.9832664 9.711179 0.1655457 -0.093675576 -0.16242418 17:20:01.645 NS
0.11971374 2.9832664 9.711179 0.18998031 0.06392766 0.03916135 17:20:01.646 NS
-0.19393626 2.7821474 10.046377 0.18998031 0.06392766 0.03916135 17:20:01.646 NS
-0.4836435 2.317658 11.372806 0.18998031 0.06392766 0.03916135 17:20:01.647 NS
-0.45730647 2.6839821 10.819728 0.18998031 0.06392766 0.03916135 17:20:01.647 NS
-0.5411061 2.9305923 10.079897 0.18998031 0.06392766 0.03916135 17:20:01.648 NS
-0.42378664 2.6935592 10.331296 0.18998031 0.06392766 0.03916135 17:20:01.648 NS
-0.5602603 2.3416007 9.924269 0.18998031 0.06392766 0.03916135 17:20:01.649 NS
-0.33759275 2.3631492 10.261862 0.18998031 0.06392766 0.03916135 17:20:01.649 NS
0.0 2.7677817 9.962578 0.18998031 0.06392766 0.03916135 17:20:01.650 NS
0.0 2.7677817 9.962578 0.25839722 0.20748098 0.2120362 17:20:01.662 NS
0.0 2.7677817 9.962578 0.3695747 0.15189226 0.16255613 17:20:01.684 NS
0.0 2.7677817 9.962578 0.46120447 0.13051197 0.05809817 17:20:01.705 NS
0.0 2.7677817 9.962578 0.3610226 0.19282022 -0.0023774875 17:20:01.723 NS
0.0 2.7677817 9.962578 0.33903143 0.19953975 -0.06590747 17:20:01.744 NS
0.0 2.7677817 9.962578 0.5076302 0.008338922 -0.10805717 17:20:01.764 NS
0.0 2.7677817 9.962578 0.3329228 -0.06618664 -0.0689618 17:20:01.783 NS
0.0 2.7677817 9.962578 -0.020768195 -0.086956054 -0.03047729 17:20:01.804 NS
0.071828246 3.387899 10.4845295 -0.020768195 -0.086956054 -0.03047729 17:20:01.827 NS
0.071828246 3.387899 10.4845295 -0.0751352 -0.12971663 -0.053690165 17:20:01.828 NS
0.5147691 2.6193366 10.178062 -0.0751352 -0.12971663 -0.053690165 17:20:01.828 NS
0.05985687 2.8396099 10.443827 -0.0751352 -0.12971663 -0.053690165 17:20:01.829 NS
-0.24182175 2.9377751 11.164503 -0.0751352 -0.12971663 -0.053690165 17:20:01.829 NS
-0.3902668 2.4613144 9.799767 -0.0751352 -0.12971663 -0.053690165 17:20:01.830 NS
-0.5865973 2.2506182 9.28021 -0.0751352 -0.12971663 -0.053690165 17:20:01.830 NS
-0.21309046 2.5475085 10.671283 -0.0751352 -0.12971663 -0.053690165 17:20:01.831 NS
-0.39266106 1.776552 11.425479 -0.0751352 -0.12971663 -0.053690165 17:20:01.831 NS
-0.7709565 1.4748733 11.293795 -0.0751352 -0.12971663 -0.053690165 17:20:01.831 NS
-0.7709565 1.4748733 11.293795 0.017716315 -0.028923858 0.016559336 17:20:01.843 NS
-0.7709565 1.4748733 11.293795 0.091020145 0.057208143 0.123460755 17:20:01.863 NS
-0.7709565 1.4748733 11.293795 0.17531955 -0.03747597 0.19920804 17:20:01.885 NS
-0.7709565 1.4748733 11.293795 0.30176866 -0.10406028 0.22730784 17:20:01.903 NS
-0.7709565 1.4748733 11.293795 0.31948373 0.06942545 0.25601852 17:20:01.923 NS
-0.7709565 1.4748733 11.293795 0.34697267 0.2178657 0.3232137 17:20:01.945 NS
-0.7709565 1.4748733 11.293795 0.38423547 0.1812138 0.4142326 17:20:01.963 NS
-0.7709565 1.4748733 11.293795 0.3445292 0.11646207 0.4618801 17:20:01.984 NS
-0.7302538 1.5514901 10.558752 0.3445292 0.11646207 0.4618801 17:20:02.005 NS
-0.7302538 1.5514901 10.558752 0.31581855 0.06209506 0.4386672 17:20:02.006 NS
-0.4836435 1.6807809 10.609032 0.31581855 0.06209506 0.4386672 17:20:02.007 NS
-0.07901107 1.5179702 10.328901 0.31581855 0.06209506 0.4386672 17:20:02.007 NS
-0.4166038 1.498816 9.967366 0.31581855 0.06209506 0.4386672 17:20:02.008 NS
-0.46209505 1.4293821 9.627379 0.31581855 0.06209506 0.4386672 17:20:02.008 NS
-0.48843205 1.5634614 9.141341 0.31581855 0.06209506 0.4386672 17:20:02.009 NS
-0.22266756 2.0255566 8.983319 0.31581855 0.06209506 0.4386672 17:20:02.009 NS
-0.2561874 1.9633054 9.12937 0.31581855 0.06209506 0.4386672 17:20:02.010 NS
-0.8547561 1.6400782 9.014444 0.31581855 0.06209506 0.4386672 17:20:02.010 NS
-0.8547561 1.6400782 9.014444 0.3066556 0.07003631 0.48570386 17:20:02.022 NS
-0.8547561 1.6400782 9.014444 0.25839722 0.10729909 0.584664 17:20:02.044 NS
-0.8547561 1.6400782 9.014444 0.15577187 0.054153815 0.575501 17:20:02.065 NS
-0.8547561 1.6400782 9.014444 0.018327178 -0.13765787 0.4747083 17:20:02.082 NS
-0.8547561 1.6400782 9.014444 -0.048867997 -0.26410696 0.37086117 17:20:02.106 NS
-0.8547561 1.6400782 9.014444 -0.09773722 -0.15964901 0.36597425 17:20:02.123 NS
-0.8547561 1.6400782 9.014444 -0.093461156 -0.030756455 0.38857627 17:20:02.143 NS
-0.8547561 1.6400782 9.014444 -0.048867997 0.0175019 0.36230904 17:20:02.163 NS
-0.7302538 1.924997 8.92825 -0.048867997 0.0175019 0.36230904 17:20:02.186 NS
-0.7302538 1.924997 8.92825 -0.07818953 -0.0014349225 0.35253522 17:20:02.188 NS
-0.339987 2.2554069 8.377567 -0.07818953 -0.0014349225 0.35253522 17:20:02.190 NS
0.014365649 2.1716073 8.877971 -0.07818953 -0.0014349225 0.35253522 17:20:02.191 NS
-0.21787901 1.9752767 9.907509 -0.07818953 -0.0014349225 0.35253522 17:20:02.192 NS
-0.69673395 1.498816 10.381576 -0.07818953 -0.0014349225 0.35253522 17:20:02.194 NS
-0.3519584 1.6305012 10.328901 -0.07818953 -0.0014349225 0.35253522 17:20:02.195 NS
-0.37829542 1.6712039 9.63935 -0.07818953 -0.0014349225 0.35253522 17:20:02.196 NS
-0.7015225 1.7645805 8.770228 -0.07818953 -0.0014349225 0.35253522 17:20:02.197 NS
-1.3024855 1.6616267 8.844451 -0.07818953 -0.0014349225 0.35253522 17:20:02.198 NS
-1.3024855 1.6616267 8.844451 -0.112397976 -0.036254242 0.4356129 17:20:02.204 NS
-1.3024855 1.6616267 8.844451 -0.09407203 0.095081784 0.5871075 17:20:02.224 NS
-1.3024855 1.6616267 8.844451 0.0671964 0.21664396 0.66835254 17:20:02.245 NS
-1.3024855 1.6616267 8.844451 0.24190386 0.10302303 0.5351839 17:20:02.264 NS
-1.3024855 1.6616267 8.844451 0.24190386 0.10302303 0.5351839 17:20:02.284 NS
-1.3024855 1.6616267 8.844451 0.014661987 0.004062865 0.421563 17:20:02.306 NS
-1.3024855 1.6616267 8.844451 -0.28893805 0.15555745 0.44294327 17:20:02.324 NS
