accX accY accZ gyroX gyroY gyroZ timestamp Activity
0.0 0.0 0.0 -0.2034169 -0.1425448 -0.03780767 18:06:39.089 SS
0.0 0.0 0.0 -0.22479719 -0.13887961 -0.07323785 18:06:39.104 SS
0.0 0.0 0.0 -0.18814528 -0.1407122 -0.10378112 18:06:39.124 SS
0.0 0.0 0.0 -0.16126719 -0.13521442 -0.12760487 18:06:39.143 SS
0.0 0.0 0.0 -0.21074729 -0.13032748 -0.16120246 18:06:39.163 SS
0.0 0.0 0.0 -0.29321408 -0.15598382 -0.19296744 18:06:39.184 SS
0.0 0.0 0.0 -0.29321408 -0.15598382 -0.19296744 18:06:39.203 SS
0.0 0.0 0.0 -0.35552233 -0.13277096 -0.21862377 18:06:39.223 SS
0.0 0.0 0.0 -0.42393926 -0.06985183 -0.24244753 18:06:39.244 SS
0.0 0.0 0.0 -0.4947996 0.0034519995 -0.2290085 18:06:39.263 SS
0.0 0.0 0.0 -0.5094604 0.024832282 -0.17769581 18:06:39.284 SS
0.0 0.0 0.0 -0.5467231 -0.00693271 -0.13432439 18:06:39.305 SS
0.0 0.0 0.0 -0.67928094 -0.047249816 -0.12455054 18:06:39.324 SS
-0.4166038 4.6664414 8.514041 -0.67928094 -0.047249816 -0.12455054 18:06:39.346 SS
-0.4166038 4.6664414 8.514041 -0.78923666 -0.06740837 -0.18930225 18:06:39.347 SS
-0.4166038 4.6664414 8.514041 -0.78923666 -0.06740837 -0.18930225 18:06:39.348 SS
-0.4166038 4.6664414 8.514041 -0.78923666 -0.06740837 -0.18930225 18:06:39.349 SS
-0.09337672 3.9840732 8.41827 -0.78923666 -0.06740837 -0.18930225 18:06:39.349 SS
0.14126222 4.230684 8.039975 -0.78923666 -0.06740837 -0.18930225 18:06:39.350 SS
0.43336374 4.4820824 8.463761 -0.78923666 -0.06740837 -0.18930225 18:06:39.351 SS
0.57223165 4.434197 9.136553 -0.78923666 -0.06740837 -0.18930225 18:06:39.351 SS
0.20111908 3.9673133 9.246689 -0.78923666 -0.06740837 -0.18930225 18:06:39.352 SS
0.20111908 3.9673133 9.246689 -0.7959562 -0.02098261 -0.31452963 18:06:39.365 SS
0.20111908 3.9673133 9.246689 -0.7764085 0.07125804 -0.36156625 18:06:39.384 SS
0.20111908 3.9673133 9.246689 -0.7281501 0.11157515 -0.22412157 18:06:39.404 SS
0.20111908 3.9673133 9.246689 -0.59375983 0.078588426 -0.064074874 18:06:39.423 SS
0.20111908 3.9673133 9.246689 -0.4129437 0.026054014 -0.0109296 18:06:39.444 SS
0.20111908 3.9673133 9.246689 -0.2681686 0.044990838 -0.051246706 18:06:39.464 SS
0.20111908 3.9673133 9.246689 -0.2791642 0.08042102 -0.10255939 18:06:39.484 SS
0.20111908 3.9673133 9.246689 -0.33047688 -0.0026566528 -0.149596 18:06:39.504 SS
-0.45491222 3.7063375 9.332883 -0.33047688 -0.0026566528 -0.149596 18:06:39.525 SS
-0.45491222 3.7063375 9.332883 -0.2718338 -0.22562246 -0.16853283 18:06:39.526 SS
-0.6656084 3.7925313 9.534002 -0.2718338 -0.22562246 -0.16853283 18:06:39.527 SS
-0.32083282 4.0295644 9.632168 -0.2718338 -0.22562246 -0.16853283 18:06:39.528 SS
-0.021548472 4.1420956 9.751882 -0.2718338 -0.22562246 -0.16853283 18:06:39.529 SS
0.05506832 4.163644 8.9498 -0.2718338 -0.22562246 -0.16853283 18:06:39.529 SS
-0.10055954 4.3073006 8.648121 -0.2718338 -0.22562246 -0.16853283 18:06:39.530 SS
