accX accY accZ gyroX gyroY gyroZ timestamp Activity
-1.3387451 2.970581 9.448914 0.0 0.0 0.0 21:27:04.025 standing
-1.3387451 2.970581 9.448914 0.019546509 0.014877319 -0.016448975 21:27:04.067 standing
-1.3760834 2.914795 9.33255 0.019546509 0.014877319 -0.016448975 21:27:04.193 standing
-1.3760834 2.914795 9.33255 0.0037841797 -0.013885498 0.004211426 21:27:04.280 standing
-1.3417358 2.9657898 9.391098 0.0037841797 -0.013885498 0.004211426 21:27:04.401 standing
-1.3417358 2.9657898 9.391098 0.011230469 0.011260986 0.0071868896 21:27:04.482 standing
-1.3686676 3.002182 9.337936 0.011230469 0.011260986 0.0071868896 21:27:04.601 standing
-1.3686676 3.002182 9.337936 0.0061187744 0.009124756 0.008468628 21:27:04.681 standing
-1.3686676 3.0147552 9.320343 0.0061187744 0.009124756 0.008468628 21:27:04.798 standing
-1.3686676 3.0147552 9.320343 -0.0015411377 0.013168335 -0.0019683838 21:27:04.881 standing
-1.3751373 3.0330658 9.345963 -0.0015411377 0.013168335 -0.0019683838 21:27:05.003 standing
-1.3751373 3.0330658 9.345963 -0.0132751465 -0.0079193115 -0.0049438477 21:27:05.084 standing
-1.409256 2.9880524 9.309921 -0.0132751465 -0.0079193115 -0.0049438477 21:27:05.203 standing
-1.409256 2.9880524 9.309921 -0.008148193 0.011474609 0.0037841797 21:27:05.289 standing
-1.405304 3.0163116 9.380676 -0.008148193 0.011474609 0.0037841797 21:27:05.411 standing
-1.405304 3.0163116 9.380676 -0.003250122 0.005935669 0.004211426 21:27:05.488 standing
-1.3704681 3.0278015 9.218704 -0.003250122 0.005935669 0.004211426 21:27:05.610 standing
-1.3704681 3.0278015 9.218704 -0.0803833 -0.049041748 -0.0040893555 21:27:05.695 standing
-1.34198 2.871704 9.478363 -0.0803833 -0.049041748 -0.0040893555 21:27:05.811 standing
-1.34198 2.871704 9.478363 0.005264282 -0.008560181 0.005706787 21:27:05.890 standing
-1.2690735 2.8702698 9.382355 0.005264282 -0.008560181 0.005706787 21:27:06.019 standing
-1.2690735 2.8702698 9.382355 -0.00793457 -0.029220581 -0.017944336 21:27:06.093 standing
-1.2562561 2.832077 9.39827 -0.00793457 -0.029220581 -0.017944336 21:27:06.213 standing
-1.2562561 2.832077 9.39827 -0.05076599 -0.063308716 -0.024337769 21:27:06.294 standing
-1.1391907 2.741806 9.545044 -0.05076599 -0.063308716 -0.024337769 21:27:06.419 standing
-1.1391907 2.741806 9.545044 0.036590576 0.005508423 0.0031433105 21:27:06.499 standing
-1.1248169 2.8253632 9.373383 0.036590576 0.005508423 0.0031433105 21:27:06.622 standing
-1.1248169 2.8253632 9.373383 0.016555786 0.0050811768 0.009963989 21:27:06.702 standing
-1.2495575 2.8551788 9.442688 0.016555786 0.0050811768 0.009963989 21:27:06.826 standing
-1.2495575 2.8551788 9.442688 3.6621094E-4 -0.020050049 0.04788208 21:27:06.904 standing
-1.0928497 2.8305206 9.30191 3.6621094E-4 -0.020050049 0.04788208 21:27:07.029 standing
-1.0928497 2.8305206 9.30191 -0.16645813 -0.034973145 -0.034347534 21:27:07.110 standing
-1.1300812 2.5657196 9.601303 -0.16645813 -0.034973145 -0.034347534 21:27:07.225 standing
-1.1300812 2.5657196 9.601303 -0.10040283 0.059829712 -0.0040893555 21:27:07.311 standing
-1.2450104 2.3968048 9.727722 -0.10040283 0.059829712 -0.0040893555 21:27:07.430 standing
-1.2450104 2.3968048 9.727722 -0.043945312 0.35917664 0.074523926 21:27:07.515 standing
-1.5077667 2.3550262 9.285141 -0.043945312 0.35917664 0.074523926 21:27:07.633 standing
-1.5077667 2.3550262 9.285141 -0.2614746 0.2055664 -0.2290802 21:27:07.716 standing
-2.17276 1.7117004 9.624878 -0.2614746 0.2055664 -0.2290802 21:27:07.839 standing
-2.17276 1.7117004 9.624878 0.17848206 -0.611496 -0.00579834 21:27:07.919 standing
-1.2347107 1.9628601 9.618057 0.17848206 -0.611496 -0.00579834 21:27:08.038 standing
-1.2347107 1.9628601 9.618057 0.18721008 -0.5701599 0.16017151 21:27:08.118 standing
0.015426636 2.42482 9.573288 0.18721008 -0.5701599 0.16017151 21:27:08.239 standing
0.015426636 2.42482 9.573288 0.3453064 -0.17835999 0.122024536 21:27:08.320 standing
0.46421814 3.0529327 9.372894 0.3453064 -0.17835999 0.122024536 21:27:08.443 standing
0.46421814 3.0529327 9.372894 -0.06524658 0.16230774 -0.007293701 21:27:08.524 standing
0.0496521 2.9066467 9.317703 -0.06524658 0.16230774 -0.007293701 21:27:08.643 standing
0.0496521 2.9066467 9.317703 -0.08079529 0.2177124 -0.0034484863 21:27:08.726 standing
-0.15301514 2.8348236 9.442566 -0.08079529 0.2177124 -0.0034484863 21:27:08.849 standing
-0.15301514 2.8348236 9.442566 0.0687561 -0.21287537 -0.031799316 21:27:08.929 standing
0.077316284 2.9104767 9.4683075 0.0687561 -0.21287537 -0.031799316 21:27:09.051 standing
0.077316284 2.9104767 9.4683075 -0.059066772 0.26309204 -0.039245605 21:27:09.132 standing
-0.41134644 2.8387756 9.540497 -0.059066772 0.26309204 -0.039245605 21:27:09.246 standing
-0.41134644 2.8387756 9.540497 -0.04650879 0.2566986 -0.02923584 21:27:09.334 standing
-0.9193878 2.765747 9.315918 -0.04650879 0.2566986 -0.02923584 21:27:09.456 standing
-0.9193878 2.765747 9.315918 0.02230835 -0.14234924 -0.022628784 21:27:09.540 standing
-0.7120514 2.7591705 9.500626 0.02230835 -0.14234924 -0.022628784 21:27:09.659 standing
-0.7120514 2.7591705 9.500626 -0.007507324 8.239746E-4 -0.013046265 21:27:09.738 standing
-0.61808777 2.804779 9.407974 -0.007507324 8.239746E-4 -0.013046265 21:27:09.859 standing
-0.61808777 2.804779 9.407974 0.106048584 -0.2348175 -0.009002686 21:27:09.935 standing
-0.32084656 2.9280853 9.426163 0.106048584 -0.2348175 -0.009002686 21:27:10.059 standing
-0.32084656 2.9280853 9.426163 0.18380737 -0.043289185 0.059188843 21:27:10.140 standing
-0.027679443 3.4348145 9.337097 0.18380737 -0.043289185 0.059188843 21:27:10.260 standing
-0.027679443 3.4348145 9.337097 0.10455322 -0.11550903 0.009963989 21:27:10.345 standing
0.08616638 3.5103455 9.166519 0.10455322 -0.11550903 0.009963989 21:27:10.466 standing
0.08616638 3.5103455 9.166519 0.048950195 0.031707764 -0.007293701 21:27:10.548 standing
0.0074005127 3.6397552 9.17598 0.048950195 0.031707764 -0.007293701 21:27:10.666 standing
0.0074005127 3.6397552 9.17598 0.033813477 0.042144775 0.008895874 21:27:10.750 standing
0.020095825 3.710266 9.09697 0.033813477 0.042144775 0.008895874 21:27:10.869 standing
0.020095825 3.710266 9.09697 0.0022888184 0.035964966 -0.012619019 21:27:10.946 standing
-0.012588501 3.741516 9.033997 0.0022888184 0.035964966 -0.012619019 21:27:11.071 standing
-0.012588501 3.741516 9.033997 0.018478394 -0.032836914 -0.04095459 21:27:11.152 standing
-0.12979126 3.8182526 9.278198 0.018478394 -0.032836914 -0.04095459 21:27:11.272 standing
-0.12979126 3.8182526 9.278198 0.054275513 0.039596558 -0.041168213 21:27:11.352 standing
-0.18461609 3.832138 9.044891 0.054275513 0.039596558 -0.041168213 21:27:11.472 standing
-0.18461609 3.832138 9.044891 0.110946655 -0.0622406 -0.08888245 21:27:11.551 standing
-0.22041321 4.02211 9.1171875 0.110946655 -0.0622406 -0.08888245 21:27:11.676 standing
-0.22041321 4.02211 9.1171875 0.045318604 0.1708374 -0.053100586 21:27:11.757 standing
-0.50675964 4.0721436 8.61824 0.045318604 0.1708374 -0.053100586 21:27:11.878 standing
-0.50675964 4.0721436 8.61824 0.019546509 0.011474609 0.040649414 21:27:11.958 standing
-0.41853333 4.0723877 8.424438 0.019546509 0.011474609 0.040649414 21:27:12.082 standing
-0.41853333 4.0723877 8.424438 -0.6598816 -0.030929565 -0.042663574 21:27:12.164 standing
-0.5543976 2.9824219 9.942001 -0.6598816 -0.030929565 -0.042663574 21:27:12.280 standing
